"Id";"Titolo";"Path";"Categoria"
1;"A Cana Si Fa Festa";"acanasifafesta.txt";"inizio"
2;"Accendi In Me";"accendiinme.txt";"inizio"
3;"Acqua Siamo Noi";"acquasiamonoi.txt";"inizio"
4;"Altissimo";"altissimo.txt";"inizio"
5;"Camminiamo Incontro Al Signore";"camminiamoincontroalsignore.txt";"inizio"
6;"Cantate Al Signore Un Canto";"cantatealsignoreuncanto.txt";"inizio"
7;"Canto La Tua Gloria";"cantolatuagloria.txt";"inizio"
8;"C'&egrave; Qualcuno Che Mi Ama";"cequalcunochemiama.txt";"inizio"
9;"Ci Inviti Alla Tua Festa";"ciinvitiallatuafesta.txt";"inizio"
10;"Com'&egrave; Bello";"comebello.txt";"inizio"
11;"Dall'aurora Al Tramonto";"dallauroraaltramonto.txt";"inizio"
12;"E' Bello Lodarti";"ebellolodarti.txt";"inizio"
13;"E' Festa Grande";"efestagrande.txt";"inizio"
14;"E' Il Giorno Del Signore";"eilgiornodelsignore.txt";"inizio"
15;"E' Pi&ugrave; Bello Insieme";"epiubelloinsieme.txt";"inizio"
16;"Fammi Conoscere";"fammiconoscere.txt";"inizio"
17;"Fratello Sole, Sorella Luna";"fratellosolesorellaluna.txt";"inizio"
18;"Gloria A Te, Cristo Ges&ugrave;";"gloriaatecristogesu.txt";"inizio"
19;"Grandi Cose";"grandicose.txt";"inizio"
20;"Il Canto Dell'amore";"ilcantodellamore.txt";"inizio"
21;"Il Giorno Della Speranza";"ilgiornodellasperanza.txt";"inizio"
22;"In Principio";"inprincipio.txt";"inizio"
23;"Inno GMG 2016";"innogmg2016.txt";"inizio"
24;"L'acqua La Terra Il Cielo";"lacqualaterrailcielo.txt";"inizio"
25;"La Tua Dimora";"latuadimora.txt";"inizio"
26;"Musica Di Festa";"musicadifesta.txt";"inizio"
27;"Nacque Il Suo Bambino";"nacqueilsuobambino.txt";"inizio"
28;"Noi Veniamo A Te";"noiveniamoate.txt";"inizio"
29;"Ora &Egrave; Tempo Di Gioia";"oraetempodigioia.txt";"inizio"
30;"Presto Andiamo A Betlemme";"prestoandiamoabetlemme.txt";"inizio"
31;"Popoli Tutti Benedite";"popolituttibenedite.txt";"inizio"
32;"Popoli Tutti Acclamate";"popolituttiacclamate.txt";"inizio"
33;"Resurrezione";"resurrezione.txt";"inizio"
34;"Un Sol Corpo Un Sol Spirito";"unsolcorpounsolspirito.txt";"inizio"
35;"Vieni Spirito Di Cristo";"vienispiritodicristo.txt";"inizio"
36;"Vieni Qui Tra Noi";"vieniquitranoi.txt";"inizio"
37;"Gloria a Dio";"gloriaadio.txt";"gloria"
38;"Gloria nell'alto dei cieli";"glorianell'altodeicieli.txt";"gloria"
39;"Gloria a Dio nell'alto dei cieli";"gloriaadionell'altodeicieli.txt";"gloria"
40;"Gloria a Dio";"gloriaadio.txt";"gloria"
41;"Gloria (Gloria)";"gloriagloria.txt";"gloria"
42;"Gloria (Gen Verde)";"gloriagenverde.txt";"gloria"
43;"Gloria (Giombini)";"gloriagiombini.txt";"gloria"
44;"Alleluia di Natale";"alleluiadinatale.txt";"alleluia"
45;"Alleluia brasiliano";"alleluiabrasiliano.txt";"alleluia"
46;"Alleluia la nostra festa";"alleluialanostrafesta.txt";"alleluia"
47;"Alleluia dello Spirito";"alleluiadellospirito.txt";"alleluia"
48;"Alleluia di Taiz&egrave;";"alleluiaditaize.txt";"alleluia"
49;"Alleluia chi ascolta";"alleluiachiascolta.txt";"alleluia"
50;"Alleluia questa tua parola";"alleluiaquestatuaparola.txt";"alleluia"
51;"Alleluia con il cuore";"alleluiaconilcuore.txt";"alleluia"
52;"Alleluia Cristo &egrave; risorto";"alleluiacristoerisorto.txt";"alleluia"
53;"Alleluia celtico";"alleluiaceltico.txt";"alleluia"
54;"Alleluia della provvidenza";"alleluiadellaprovvidenza.txt";"alleluia"
55;"Alleluia ecco lo sposo";"alleluiaeccolosposo.txt";"alleluia"
56;"Alleluia &egrave; risorto il Signor";"alleluiaerisortoilsignor.txt";"alleluia"
